,Topic,Word,P
0,0,review,0.055929642
1,0,pkm,0.053207323
2,0,smt,0.026214058
3,0,dosen,0.0211349
4,0,wajib,0.014788311
5,0,itu,0.013636964
6,0,dosennya,0.011778241
7,0,kapan,0.011095101
8,0,word,0.009264265
9,0,sih,0.008916676
10,1,spill,0.018832084
11,1,kira_kira,0.01489975
12,1,mulu,0.012182814
13,1,kira,0.011650815
14,1,tiket_kereta,0.011080272
15,1,di,0.010495605
16,1,pernah,0.010190466
17,1,reply,0.010039367
18,1,aja,0.009863415
19,1,ngasih,0.009610346
20,2,menurut_kalian,0.021073414
21,2,worth_it,0.020515958
22,2,teknik,0.014703067
23,2,kuliah,0.013845309
24,2,sini,0.012999786
25,2,di_sini,0.012412268
26,2,di,0.01177099
27,2,hal,0.011267775
28,2,tia,0.0111313155
29,2,it,0.011084752
30,3,sks,0.045048755
31,3,yaa,0.022013621
32,3,maaf,0.0170854
33,3,organisasi,0.015703911
34,3,tau_tempat,0.014064478
35,3,lebih,0.012609325
36,3,mohon,0.011800127
37,3,rekkk,0.011390144
38,3,sendiri,0.011117979
39,3,rencana,0.010542597
40,4,mau_tanya,0.07948885
41,4,skem,0.050381493
42,4,tanya,0.041853935
43,4,yuk,0.02456202
44,4,ukt,0.021513246
45,4,mau,0.020042904
46,4,ets,0.0143933315
47,4,di,0.014007523
48,4,info_kos,0.012598691
49,4,bayar,0.012182215
50,5,maba,0.037700474
51,5,join,0.02096126
52,5,bikin,0.020333925
53,5,matkul,0.017437574
54,5,udah,0.016495006
55,5,sender,0.013770123
56,5,ayang,0.013731637
57,5,belum,0.013493504
58,5,nambah,0.013227488
59,5,jadwal,0.013044447
60,6,balik_ke,0.028056191
61,6,balik,0.02478147
62,6,halo,0.024097402
63,6,tanggal_berapa,0.02349011
64,6,tanggal,0.022312667
65,6,aku,0.016889168
66,6,berapa,0.016006362
67,6,kamar_mandi,0.015141279
68,6,wa,0.014714395
69,6,ges,0.0133809475
70,7,ambil,0.03052848
71,7,murah,0.020026252
