full_text,tokenized_text
ok close dulu  nanti buka lagi kl basenya udah aktif,"['ok', 'close', 'buka', 'kl', 'basenya', 'udah', 'aktif']"
open follback itsfess come back  tweet ini reply dengan bukti sbg mhs its reply dengan harapan untuk itsfess nanti sementara opfoll dulu  sambil admin nyiapin  lainnya,"['open', 'follback', 'itsfess', 'come', 'back', 'tweet', 'reply', 'bukti', 'sbg', 'mhs', 'its', 'reply', 'harapan', 'itsfess', 'opfoll', 'admin', 'nyiapin']"
base lagi off yaaaaa,"['base', 'off', 'yaaaaa']"
  udah sering banget berkecimpung sama food kah kalau  mau tanyatanya dikit masmbak,"['udah', 'banget', 'berkecimpung', 'food', 'kah', 'tanyatanya', 'dikit', 'masmbak']"
info perpanjangan kuesioner ipd,"['info', 'perpanjangan', 'kuesioner', 'ipd']"
untuk angkatanku  mau magang,"['angkatanku', 'magang']"
saran taman deket its buat baca buku atau bebas ngapain aja,"['saran', 'taman', 'deket', 'its', 'baca', 'buku', 'bebas', 'ngapain', 'aja']"
gabut  seee,"['gabut', 'seee']"
nyebelin banget lagi buka multitab buat ngisi kuisioner dosen terus milih dosen ketiga eh gataunya  keisi dosen  namanya kelist pertama masa aku bilang makasih ibu ke bapak dosen jadi males ngisinya asliii akhirnya milih nemplate aja semua,"['nyebelin', 'banget', 'buka', 'multitab', 'ngisi', 'kuisioner', 'dosen', 'milih', 'dosen', 'ketiga', 'eh', 'gataunya', 'keisi', 'dosen', 'namanya', 'kelist', 'bilang', 'makasih', 'dosen', 'males', 'ngisinya', 'asliii', 'milih', 'nemplate', 'aja']"
 saran  kalo di  enaknya ajak bapak jalan ke mana  bapakku lagi mampir btw aku gak terlalu deket sama bapak makasihh,"['saran', 'kalo', 'enaknya', 'ajak', 'jalan', 'bapakku', 'mampir', 'btw', 'gak', 'deket', 'makasihh']"
masmbak atau temanteman  sudah lulus mau bertanya apakah   dulu pas daftar sidang akhir nilai toeflnya tidak memenuhi dimana salah satu syarat buat daftar sidang tersebut adalah nilai toefl minim itu berarti gabisa ikut sidang ,"['masmbak', 'temanteman', 'lulus', 'pas', 'daftar', 'sidang', 'nilai', 'toeflnya', 'memenuhi', 'dimana', 'salah', 'syarat', 'daftar', 'sidang', 'nilai', 'toefl', 'minim', 'gabisa', 'sidang']"
maba permisi mau nanya,"['maba', 'permisi', 'nanya']"
mending kalo mau dateng ke wisuda crush bilang  langsung dateng terus kalo bilang gimana bilangnya  bantu sender ,"['mending', 'kalo', 'dateng', 'wisuda', 'crush', 'bilang', 'langsung', 'dateng', 'kalo', 'bilang', 'gimana', 'bilangnya', 'bantu', 'sender']"
gokilll parahh produknya anak despro apalagi  grobak tossa spill abis duit berapa tuhhh,"['gokilll', 'parahh', 'produknya', 'anak', 'despro', 'grobak', 'tossa', 'spill', 'abis', 'duit', 'tuhhh']"
mari bermutualan,"['mari', 'bermutualan']"
info kos  deket  berac,"['info', 'kos', 'deket', 'berac']"
 ekspedisi buat ngirim sepeda motor  recommend  ,"['ekspedisi', 'ngirim', 'sepeda', 'motor', 'recommend']"
halo masmbak aku boleh minta tolong gak buat isi kuisioner lombaku respon dari kalian sangat berati buat kita  hadiah e wallet juga buat  isi makasii temen semoga its bisa juara umum gemastik lagi berturut aaminn,"['halo', 'masmbak', 'tolong', 'gak', 'isi', 'kuisioner', 'lombaku', 'respon', 'berati', 'hadiah', 'e', 'wallet', 'isi', 'makasii', 'temen', 'semoga', 'its', 'juara', 'gemastik', 'aaminn']"
rekkk jangan lupa isi ipd hari ini terakhirrr,"['rekkk', 'lupa', 'isi', 'ipd', 'terakhirrr']"
rekomendasiin pentol enak di sekitar its  ,"['rekomendasiin', 'pentol', 'enak', 'its']"
adakah  mau joging sambil kasih makan mengk stock makanan mengk sender masih banyak tp sender udah mau pulkam,"['adakah', 'joging', 'kasih', 'makan', 'mengk', 'stock', 'makanan', 'mengk', 'sender', 'tp', 'sender', 'udah', 'pulkam']"
web presensi udah ditutup ,"['web', 'presensi', 'udah', 'ditutup']"
info katering nasi  worth it dengan range harga k  kakk,"['info', 'katering', 'nasi', 'worth', 'it', 'range', 'harga', 'k', 'kakk']"
panggilan kepada anakanak dari solo raya ayo hubungi cp tertera untuk bergabung bersama forda solits,"['panggilan', 'anakanak', 'solo', 'raya', 'ayo', 'hubungi', 'cp', 'tertera', 'bergabung', 'forda', 'solits']"
mau nanya   tau gak libur kuliah sampai tanggal berapa,"['nanya', 'tau', 'gak', 'libur', 'kuliah', 'tanggal']"
,[]
permisi ,['permisi']
